	eng	cmn
13037	Do you believe ghosts exist?	你相信鬼存在吗？
17679	I don't have time to meet up with you.	我没时间跟您碰头。
11780	It seems that Tom is lying.	看來湯姆在說謊。
19251	My office is on the fourth floor of that gray six-story building.	我的办公室在那幢灰色的六层楼的四楼。
22660	Neither of those two students passed the test.	兩個學生都沒通過考試。
13887	Tom is unbelievably stupid.	汤姆傻得难以置信。
6110	I went to the hospital.	我去了医院。
29338	He was the first person to arrive.	他是第一個到達的人。
12817	He is afraid of making mistakes.	他很怕出错。
9252	I come from a large family.	我从一个大家庭来。
14178	To live without air is impossible.	沒有空氣生活是不可能的。
4861	Tom has an old car.	湯姆有輛舊車。
10058	Broccoli is one of the healthiest vegetables.	西藍花是最健康的蔬菜之一。
4392	Tom asked me about you.	汤姆向我问起你。
12426	The weather is nice tonight.	今晚天公作美。
28369	We have dinner at seven.	我们七点吃晚饭。
12359	Ten teams competed for the prize.	十支隊伍競逐獎項。
27588	I go to church every day.	我每天上教堂。
14794	Tom waited for Mary in front of the warehouse.	湯姆在倉庫前等瑪麗。
24636	"America likes to claim that it is a ""classless"" society."	美国是一个自称没有社会阶层的国家。
13807	Entering the house, I tripped over the mat.	进家门后，我被垫子绊倒了。
3126	I wish she had come last night.	要是她昨晚來就好了。
26767	She had scarcely finished speaking when he cut in.	她几乎没有说完话，就被他打断了。
5035	He has been sick for a week.	他病了一星期。
2396	My uncle has three children.	我的叔叔有三个孩子。
4929	I don't take drugs.	我不吸毒。
15255	We're at war with Japan.	我們在跟日本打仗。
15316	I can't remember his name.	我不記得他的名字。
19511	When did you get to know Tom?	你是甚麼時候認識湯姆的？
17521	The teacher asked me which book I liked.	老師問我我喜歡哪本書。
22617	What's not necessary?	什麼是不必要的?
26823	This book is full of mistakes.	這本書充滿了錯誤。
27045	It's as cold as ice.	它冷得像冰一樣。
24640	I'm going to bed. Good night.	我要睡觉了，晚安。
1293	He likes cooking for his family.	他喜歡為家人做飯。
13448	I'm a good cook.	我是个好厨师。
942	Is it next Monday that Tom returns?	汤姆是在下个星期一回来吗？
3205	She was by far the best singer in the class.	她曾是班上唱歌絕對的第一名。
11210	You're too suspicious about everything.	你对什么都太怀疑了。
17935	It looks like Tom will do what we've asked him to do.	看來湯姆會按我們要求的去做。
6791	I'm really sorry to hear that.	听到这样的消息我真的很难过。
4345	Are you going to be there?	你会在那里吗？
14950	This won't help you.	這幫不了你。
4531	She has an eye for beauty.	她有一雙美麗的眼睛。
4092	I'll square things with you later.	待会我再和你谈谈。
27425	Why don't we stop arguing over these piddling matters and get to the issues at hand?	为什么我们不停止纠缠细枝末节而进入正题呢？
28226	You have beautiful hair.	你的头发很漂亮。
11256	He got a good grade in mathematics.	他數學得了一個好成績。
18979	This towel is so soft and fluffy. It feels good!	这条毛巾蓬松又柔软，特别舒服。
8314	Let's take a rest for a while.	我们休息一会儿吧。
23901	I can't believe it!	我没法相信！
979	What do you want now?	你现在想要什么？
26266	I am amazed at your audacity.	我对你的大胆感到很惊讶。
6835	I went there recently.	我刚去过那里。
2653	I wish you luck.	祝你好运。
17064	The sun came out.	太阳露出来了。
11387	I'm making dinner.	我准备晚餐。
5216	You may injure yourself if you don't follow safety procedures.	如果你不按照安全手续来的话，你可能会受伤的。
17321	He crossed the street.	他穿过公路。
16094	I can't play tennis that well.	我不那麼會打網球。
6638	He has three times as many books as I have.	他的书有我的三倍多。
27826	Suddenly, I heard shouting.	突然，我听到了一声喊叫。
14628	I don't know about the others, but as for me, I'm for it.	我不知道别人如何，但就我而论，我支持。
12856	She wants to be a designer.	她希望成為一名設計師。
14633	You need to go.	你們得走了。
20124	I'll miss your cooking.	我會想念你的廚藝。
5613	I'm not going to show any fear.	我不会表现出恐惧。
22905	Young children are often fascinated by science.	小孩常常对科学很有热情。
24290	That's quite obvious.	那很明顯。
18718	Water freezes at zero degrees Celsius.	水在攝氏零度時結冰。
5559	Can I borrow your book for a minute?	我可以借一会你的书吗？
9773	I know the real reason you don't want to go.	我知道你不想去的真实原因。
15191	It was in Beijing that I studied Chinese.	我是在北京學的中文。
21738	The lady really flipped out when she learned she had won a million dollars.	當這位女士得知她已經贏得了百萬美元, 她真的樂瘋了。
23763	Last summer I traveled to Italy.	去年夏天我去意大利旅行。
20398	He tried to concentrate on the letter.	他试图把注意力集中在信上。
13963	Goodbyes are always sad.	离别总是让人悲伤。
4490	You'll have to play it by ear at the interview.	在面試的時候你必須見機行事。
7623	It'll take a long time.	我要花很长时间。
16759	I was just about to come looking for you.	我剛才正要找你。
28191	She doesn't like people who aren't punctual.	她不喜欢不守时的人。
25839	Please write to me about conditions at your school.	请写信告诉我你们学校的情况。
28419	I'm very happy.	我好高興。
8133	I filled up the vase with water.	我倒水進去花瓶裡。
28764	Tell me how you solved the problem.	告訴我你如何解決了這個問題。
6914	I like rice more than bread.	比起面包，我更喜欢米饭。
1070	The moonlight is really beautiful.	月光真美。
22172	He said nothing, which made her angry.	他什么也没说，这让她很生气。
6339	Tom's parachute didn't open.	湯姆的降落傘沒有打開。
14522	You should get your hair cut.	你该去理发店了。
16092	He was admitted without taking the exam.	他承認沒有參加考試。
25979	Nobody tried to help Tom.	没人试图帮汤姆。
24122	Her husband is an excellent cook.	她丈夫是個優秀的廚師。
13842	My father is always poking his nose into my private life.	我的父亲总是干涉我的私生活。
10420	I don't want any milk at all.	我完全不要牛奶。
10162	You're the only friend I have.	你是我唯一的朋友。
12189	Money rules the world.	金钱万能。
1660	I no longer love you.	我不再爱你了。
24562	I know it's time to go, but I want to stay longer.	我知道該走了，但我想留久一點。
20088	The station is two miles away.	車站離這裡兩英里遠。
5212	What is the difference between this and that?	“这”和“那”有什么区别？
20613	Don't laugh at him for making a mistake.	不要笑他犯了错误。
15543	Tom and Mary have a very good relationship.	汤姆和玛丽关系很好。
936	I need to go to sleep.	我必须睡了。
652	She was absorbed in the video.	她迷上了视频。
25203	What made her do that?	为什么她要做这种事情呢？
11566	I'll be right with you.	我馬上就来。
15908	She decided to resign from her job.	她決定辭去她的工作。
5860	Tell me more about Tom.	告诉我汤姆的情况。
24774	The train was so crowded that I had to stand all the way.	這班火車如此的擁擠以至於我整個車程都必須站著。
10172	Some people never grow up.	有些人永远也长不大。
5354	Doing this is a lot of fun.	这样做很有趣。
27585	I always get nervous just before a match.	比赛前我一直都很紧张。
7875	She's a quiet person.	她是個安靜的人。
